,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_loss,2_test_acc,2_test_L0
26,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.4655089,0.36914062,25532612.0
27,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.7515438,0.21289062,25532612.0
28,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.4092892,0.29296875,25532612.0
29,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.5027759,0.2861328,25532612.0
30,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,113,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.3585603,0.42949218,25532612.0
31,2,0,111,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,114,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.5628314,0.30214843,25532612.0
32,2,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,109,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.3862932,0.29824218,2378749.0
33,2,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,110,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.3862952,0.21953125,2378749.0
34,2,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,111,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.3862932,0.28222656,2378749.0
35,2,0,111,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Inside_Count_Experiments/RN50_model3_T111_-0.05_5stage,CNN,1,CVRTDataModule,112,,,,L0resnet50,64,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",1.386294,0.2751953,2378749.0
