,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_seed,0_dataset,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
29,29,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,118,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3849683,0.928,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
30,30,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,119,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3849553,0.92,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
31,31,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,120,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3862505,0.396,34165296.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
32,32,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,115,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3818313,0.89,12234196.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
33,33,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,116,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3796082,0.978,12234196.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
34,34,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,117,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.386179,0.294,12234196.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
35,35,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,118,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3814574,0.986,12234196.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
36,36,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,119,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3860441,0.55,12234196.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
37,37,2bd706b2-04dc-45a6-9ec1-e0065794b6d3,0,116,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/116/T116_0.1_1stage,0,CVRTDataModule,120,,,,,wideresnet50,64,0.0001,0.1,['stage_4'],validate,1.3790416,0.996,12234196.0,46399490.0,0.526,389a5942-bab7-489e-b126-7d591795239f
0,0,7b2ce1ee-a17a-4dd4-be91-189e3bbdabd5,1,117,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Vision/Models/Count_Contact/WideResnet50/Mask_Parameters/389a5942-bab7-489e-b126-7d591795239f/117/T117_0.05_5stage,0,CVRTDataModule,117,1.0,1.3893108367919922,38.0,True,wideresnet50,64,0.01,0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,,,,0.023999999999999966,389a5942-bab7-489e-b126-7d591795239f
