Jobs for user [1mmlepori(B[m

[1mRunning:(B[m
ID       NAME                               PART.        QOS             CPU  WALLTIME  REMAIN    NODES
6691957  CS-WRN50_model3_T104_-0.01_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691958  CS-WRN50_model3_T104_-0.01_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691959  CS-WRN50_model3_T104_0.0_1stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691960  CS-WRN50_model3_T104_0.0_2stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691961  CS-WRN50_model3_T104_-0.03_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691962  CS-WRN50_model3_T104_-0.03_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691963  CS-WRN50_model3_T104_-0.03_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691964  CS-WRN50_model3_T104_-0.03_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691965  CS-WRN50_model3_T104_0.0_3stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691966  CS-WRN50_model3_T104_-0.05_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691967  CS-WRN50_model3_T104_-0.05_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691968  CS-WRN50_model3_T104_-0.05_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691969  CS-WRN50_model3_T104_-0.05_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691970  CS-WRN50_model3_T104_0.0_5stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
